domain_key,data_dir,p_mask,p_noise,num_trajs,experiment_name
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.0,3,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.0,4,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.0,5,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.0,6,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.0,7,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.0,8,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.1,3,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.1,4,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.1,5,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.1,6,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.1,7,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.1,8,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.2,3,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.2,4,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.2,5,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.2,6,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.2,7,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.2,8,simulation-cluster-run-cpu256-10min__mask=0.0__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.0,3,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.0,4,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.0,5,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.0,6,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.0,7,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.0,8,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.1,3,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.1,4,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.1,5,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.1,6,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.1,7,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.1,8,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.1
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.2,3,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.2,4,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.2,5,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.2,6,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.2,7,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.2,8,simulation-cluster-run-cpu256-10min__mask=0.01__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.1,0.0,3,simulation-cluster-run-cpu256-10min__mask=0.1__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.1,0.0,4,simulation-cluster-run-cpu256-10min__mask=0.1__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.1,0.0,5,simulation-cluster-run-cpu256-10min__mask=0.1__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.1,0.0,6,simulation-cluster-run-cpu256-10min__mask=0.1__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.1,0.0,7,simulation-cluster-run-cpu256-10min__mask=0.1__noise=0.0
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.1,0.0,8,simulation-cluster-run-cpu256-10min__mask=0.1__noise=0.0
