domain_key,data_dir,p_mask,p_noise,num_trajs,experiment_name
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.0,0.2,5,pilot-cpu256__mask=0.0__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.01,0.2,5,pilot-cpu256__mask=0.01__noise=0.2
blocksworld,benchmark/data/blocksworld/blocks_predefined_problems1-10_final-version,0.1,0.2,5,pilot-cpu256__mask=0.1__noise=0.2
hanoi,benchmark/data/hanoi/hanoi_generated_problem1__final-version_fixed,0.0,0.2,5,pilot-cpu256__mask=0.0__noise=0.2
hanoi,benchmark/data/hanoi/hanoi_generated_problem1__final-version_fixed,0.01,0.2,5,pilot-cpu256__mask=0.01__noise=0.2
hanoi,benchmark/data/hanoi/hanoi_generated_problem1__final-version_fixed,0.1,0.2,5,pilot-cpu256__mask=0.1__noise=0.2
npuzzle,benchmark/data/npuzzle/npuzzle_generated_problem0__final-version_fixed,0.0,0.2,5,pilot-cpu256__mask=0.0__noise=0.2
npuzzle,benchmark/data/npuzzle/npuzzle_generated_problem0__final-version_fixed,0.01,0.2,5,pilot-cpu256__mask=0.01__noise=0.2
npuzzle,benchmark/data/npuzzle/npuzzle_generated_problem0__final-version_fixed,0.1,0.2,5,pilot-cpu256__mask=0.1__noise=0.2
depot,benchmark/data/depot/multi_problem_04-07-2026T01:32:08__model=gpt-5.2__steps=100,0.0,0.2,5,pilot-cpu256__mask=0.0__noise=0.2
depot,benchmark/data/depot/multi_problem_04-07-2026T01:32:08__model=gpt-5.2__steps=100,0.01,0.2,5,pilot-cpu256__mask=0.01__noise=0.2
depot,benchmark/data/depot/multi_problem_04-07-2026T01:32:08__model=gpt-5.2__steps=100,0.1,0.2,5,pilot-cpu256__mask=0.1__noise=0.2
gripper,benchmark/data/gripper/multi_problem_04-07-2026T14:50:04__model=gpt-5.2__steps=100,0.01,0.2,3,pilot-cpu256__mask=0.01__noise=0.2
gripper,benchmark/data/gripper/multi_problem_04-07-2026T14:50:04__model=gpt-5.2__steps=100,0.01,0.2,5,pilot-cpu256__mask=0.01__noise=0.2
gripper,benchmark/data/gripper/multi_problem_04-07-2026T14:50:04__model=gpt-5.2__steps=100,0.01,0.2,8,pilot-cpu256__mask=0.01__noise=0.2
