domain_key,data_dir,p_mask,p_noise,run_name
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.0,0.0,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.0,0.1,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.0,0.2,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.01,0.0,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.01,0.1,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.01,0.2,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.1,0.0,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.1,0.1,large-corpora__L-sweep
blocksworld,benchmark/data/blocksworld/large_corpus_L500_n2500,0.1,0.2,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.0,0.0,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.0,0.1,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.0,0.2,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.01,0.0,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.01,0.1,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.01,0.2,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.1,0.0,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.1,0.1,large-corpora__L-sweep
hanoi,benchmark/data/hanoi/large_corpus_n2500,0.1,0.2,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.0,0.0,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.0,0.1,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.0,0.2,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.01,0.0,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.01,0.1,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.01,0.2,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.1,0.0,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.1,0.1,large-corpora__L-sweep
npuzzle,benchmark/data/npuzzle/large_corpus_n2500,0.1,0.2,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.0,0.0,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.0,0.1,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.0,0.2,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.01,0.0,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.01,0.1,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.01,0.2,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.1,0.0,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.1,0.1,large-corpora__L-sweep
depot,benchmark/data/depot/large_corpus_n2500,0.1,0.2,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.0,0.0,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.0,0.1,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.0,0.2,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.01,0.0,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.01,0.1,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.01,0.2,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.1,0.0,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.1,0.1,large-corpora__L-sweep
gripper,benchmark/data/gripper/large_corpus_n2500,0.1,0.2,large-corpora__L-sweep
